A	B	C	label
你们是为了得到什么而去上班	为了养活自己但是上得很难过	这种就是养老的心态上班	others
看见浑身是血的人还能理直气壮的往外推，普通人都做不出来的事你做的理直气壮，中国的人民警察我服	那我拖进派出所等死好不好？做事靠的是脑子，不是义气。	是是是，反正人不能死在我这里，所以进来躺一下、借点水都不行，反正滚出去。合格的人民民主专政铁拳	others
你是真的关注我，我早上坐车来着，毕业了。现在准备再怼一圈睡觉。	别问，问就是一顿怼	答主热爱怼人	angry
我提个建议，我们建个群吧，这让我有刷群的感觉，另外我想吐槽答主一句：你这是降维打击，天知道你写这个之前写过多少东西，写作用时间的长短变化的是词与词，而不是字与字吧	哈哈	答主加QQ么Õ_Õ	happy
国际主义是合集，is是子集。一切不能普遍适用的原则，不能作为三段论的一般性原则，这是辩证法的逻辑基础。	意思是国际主义包括咖啡乐都要死？玩中项不周延的把戏有意思？你就说IS的民主制度，国际主义是“全世界人民维护共同利益、反对共同敌人而实行国际团结的思想；处理民族之间、各国民主政治力量和民主国家之间平等互助关系的基本准则。”注意其中的民主两个字，你可以谈谈IS的民主是怎么样的，安拉去年大选得票率多少？	并且，你说的国际主义也不对！看看百科的“国际主义”：（英文：internationalism）是指倡导和支持国家间为共同利益而开展更广泛的经济和政治合作的政治运动不同国家和地区可能对这个词语有不同的理解。…国际主义要求各国在独立自主的前提下，在马克思主义基本原理的基础上联合起来，各国无产阶级和劳动人民在反对剥削压迫、争取民族解放、建设社会主义的斗争中，相互支持，相互援助。第一，国家间；第二，独立前提；第三，支持援助。包不包括支配命令？包不包括受国外组织指令推翻本国既有政权？很清楚李大钊就是投敌间谍，不存在国际主义！	others
恋爱四年今天分手了	我也前几天分手男的告诉我说对不起我不该把喜欢夸张成爱而且喜欢的感觉也越来越淡了先做回朋友你说能做的回么我是不可以我给他发了很长的一段短信我说他太没担当太不成熟像个孩子前几天很难过现在已经好了推荐你去看一文章没有到不了的明天	我ex甩我用的就是这个理由握爪然后我回他的话也和你一样	sad
真可怜。	而对我来说，如果觉得自己有能力驳回眼前的无知者却不采取行动，在我看来尤为懦弱	我真的是觉得没有办法去扭转这些三观不合的东西，你开心就好，我辩赢你又怎样？你又不是我儿子，我还要事事教你不成，就此打住，别扯没用的东西，你想不通就翻回去看之前的评论。	angry
这里只是说一个博主转发的，但是公众号来源却是不同的。这样是怎么知道是一个人画的呢？	我看错了 我以为那个是画的	嗯嗯	others
编的吧。朋友就在档案馆工作，全方位24小时都是监控……领导还会不定期抽查监控	知乎，和你分享刚编的故事	哈哈哈，确实！	happy
还有哇，并不是所有人都值得接受教育，基础素质教育的目的只是扫盲，长成什么样还得看自己和家庭啊😊毕竟不是所有老师都是教育学家，就算是教育学家也有搞不定的学生，就这样。	天，您这观念真正令人喷饭。什么叫“慷他人之慨”？您这就是典型的“你行你上”原则啊。——各司其职，您知道吗？不会教育你当什么教师啊？要想混饭吃可以有许多选择的。孔子说：有教无类。只有不好的老师，没有不好的学生。。。	教师只是一种职业，传播知识不是传播爱，也不是为了社会安定把罪恶抑制在学校里，你要是想了解就知乎上都大把的学生殴打，刀捅老师，那照您的看法，这些老师都是不会教育没把学生教好所以该死咯😄？还有，容易喷饭就少吃点，老是出来喷挺没教养的，您说对吗？	angry
有没有水瓶女摩羯男的啊最近感情怎么样啊	我和我老公就是瓶女摩男配我们情人节把结婚证领了呵呵你加油吧爱情主要还是看金星了摩羯会冷暴力水瓶的弱点就在这受不了啊我经常被我老公折磨的他金星落蝎了折磨我啊不过通常我们争吵不过三分钟就和好哈哈我们合过盘了比较配不过现实生活中相处也很好你要拿出你的聪明征服他哦不过不能逼紧他	哎呀有修成正果的呀好开心啊哈哈合盘神马的我都不会啊就知道我们俩金星都在摩羯嗯祝你们幸福哈	happy
为什么我找不到男朋友	有点儿惊悚尤其你平时的状态让人很难掌控啊	哈哈哈哈哈哈我终于找到了我单身好多年的原因了	happy
啊你两只船啊被你自己的男朋友发现了吗	伤不起的啊可以醒一下了	对的但是真的很伤心	sad
我有一个同班同学，挺好看一小姑娘，外号就叫花花	无图无真相	不知道怎么形容啊…总之就是肤白貌美腿长比我好看特别多_(:з」∠)_	happy
北京有房的女人太多了	我也见过一方有房子而另外一方没房子还能再房子上面加名字的（性别不限） ，但是 ，不出钱还能加名字那一方都是拥有比他们的另一半高出许多的个人魅力值  ，所以 ，这世界上没有谁是愿意吃亏的， 那些哭诉着对方没出钱还要加名字的人，  往往都是既想享受对方的高魅力值，却还不愿意付出代价的， 这些人才是真正意义上的最贪婪的人	不是很懂非要在别人资产上加名字的心态，丢不丢人，那么没有安全感自己买咯。打劫的感觉这么好？	angry
我去问了老师那句话什么意思！！长歌未完，天已亮，从此别去各自天涯，然真情如水静静深且长。 卧槽是不是真的为什么那么虐！！！	嗷嗷嗷嗷嗷，此处惊现魔道粉！！！	能看出我头像的内涵想必是同道中人！！	happy
“好的，领导，还是充你那个垃圾号吗？”	为什么你的赞比回答还多？	💁🏻‍♀️💁🏻‍♀️💁🏻‍♀️	happy
周二晚上圣诞节桌游有兴趣的豆油lz	一帮老豆子灰来灰去得滚来滚去得闹哪样	怎么报名怎么报名	others
我不赞同 真爱也不会加你名字 如果真爱 你还在乎那个名字吗 人家辛苦赚来的 为什么要分给你 将心比心啊	将来结婚的时候再回头看看你今天说的这些	不好意思 有两套房子 一部车 全款 这些问题不必考虑	others
我更伤心没日没夜的哭然后我就瘦了	原谅我不厚道的说也算减肥了	你也要加入吗一起减肥	sad
哈哈，拿手机上的说？真正的小爱甩天猫10条街	嗤，最近我舍友准备入一个智能音箱，把玩了我手机上的小爱同学，就直接把小米家的小爱同学从预选方案里拿掉了。	手机上的根本不是一回事	others
恐惧过生日	生日快乐	谢谢	others
千元以下之物皆不要 说明对自身约束十分严格且有追求有目标	兄dei，阅读理解满分	喔唷 你以为呢 不然你觉得我这九年义务教育白读的吗	others
嗯，武汉司门口有一网红学校，一半的是东北来的妹子。。辛苦她们了。	武汉音乐学院？！	想啥呢，武音怎么能够一半的东北人。。	others
你这里又自己想象说“实时复用这个需求可以简化”了。你就不去考虑下有多少旅客有那个耐心几分钟才刷新一次页面。你连需求分析都不做，还谈设计丢不丢人啊？	刷新页面是查询，查询，查询！！！！！！亲！！！！！我说过了用CDN，用CDN ！！！！和业务没关系！！！没关系！！！没关系！！！	谁告诉你刷新页面只是查询的？你这边显示有余票，那边就不停地提交订单。而且提交速度还是飞快的。谁等你五分钟才刷一次订单啊？	others
基因好不一定只有赚钱啊，大学副教授杰青的收入没准只有女企业家一半，主任医生干不过投行保代，另外吧，繁衍需求其实女的也有，35岁砸钱做试管的也有单身哦	35岁能砸钱做试管的根本不算剩女好吧，在一线城市，自己有房有好工作的女性多大都不算剩女，或者压根不想结婚的也不算剩女。这两种女性都属于少数，而多数都是像答主所说的那种在一线城市拿着万八千的工资租房住的大龄单身女，没房产，没积蓄，工资也只是平均线徘徊，需要靠婚姻来转嫁经济压力生存压力的才是剩女。	我是针对你说女性没啥繁衍欲望的说法，欲望肯定是有的。	others
这都不是重点，你最后追上了那个女同学没有，想想我还是加了个追字	虽然没见过，但是我知道有。其实刚才看你的那段话的前面句子也觉得不是很妥当，因为我是女性的原因吧，所以…不知道该怎么说，自己不渣就行。	妹纸，我觉得你就不错，请务必私信我一张近照	others
我是站在女性的角度，如果没有一胎制，女性的地位只会更不如现在，更别说受教育了。不知道你会不会考虑女性的利益呢？如果要把人为选性别也怪在计生上的话……那观点不同不用浪费时间讨论了。	取消计生会多活下来很多女婴	还是把人心怪在计生上嘛。观点不同，争论没意义。	others
学理论时候都定侮辱尸体，到实践的时候必然定强奸。这些老师讲课时候完全不考虑证据情况，男的以为女的死了，谁能证明女的当时确实处于不能分辨的死亡状态，谁又能证明男的当时是什么主观心态。一个法官特逗，也是这个例子就问我，大意就是男的将插未插的时候，女的从晕死的状态中清醒了，对男的行为怎么定性。。。	对…我是主张定强奸，我们老师说是主观是侮辱尸体，就定侮辱尸体，然而并不能使我们信服。那个法官真的不要更逗了……	法官问完，我也没说话，然后他说脱离了证据谈案例都没有意义。	others
也是，可能太想得到自己父母的认可，可以脱离以前的阴影吧。	我理解你！真的！我爸妈跟你爸妈一样重男轻女，只不过我妈不像你妈那样严重。我恨我爸恨到极点，我曾经有段时间策划过怎么杀了我爸。不过，幸运的是，我是城市户口，计划生育比较严，只能生一个，所以，他们就算重男轻女也不得不对我好。我曾经跟你一样对父母千依百顺，讨好他们，希望他们认可我。但是，结果跟你一样，我发现他们的思想根本不可能改变，永远都不会认可我。我读了很多心理学书籍（因为好的心理医生我看不起，差一点的我有不敢看）才克服原声家庭带给我的心理阴影。所以，亲爱的，你与其想通过获得父母认可来克服阴影，还不如去看心理医生有用。你如果担心没有个像样的娘家，你和你姐会被婆家欺负，那你大可放心，你和你姐自身有本事，经济独立，婆家不敢看低你，毕竟是和你结婚，又不是和你娘家结婚。重男轻女家庭的女生什么都要靠自己，很多时候，我觉得自己孤立无援，羡慕别人有父母支持起码还有条退路。但后来想通了，谁想做出点成绩来不是靠自己，父母提供的不过是助力，最关键还是靠自己。等你靠一己之力超过了那些有父母为后盾的人，你会发现你超越的不仅是一个人，而是他们整个家庭。一个人步步为营很辛苦，但过得更踏实。我好佩服你！你凭一己之力开公司，在一线城市买房，跟你比我才发现我自己多没用。你真是双商都高，处理事情都能看到本质。你和原声家庭的事确实没必要告诉你老公，没经历过的人永远不会懂，通常都站着说话不腰疼。你心理实在不舒服的话，找个心理医生都比跟你老公说有用。我老公就很不理解我对我爸妈的态度，还因此对我有意见，呵呵，后来我再也不跟他说我家的事，说了也没用	其实我一直幻想给我妈一个可以安静生活的地方，她能平等看待我们。老公是不会懂的，我们都只有自己，其他的抓不住，不要在意吧。	sad
额邓紫棋说她拒绝了林宥嘉三年	卧槽林宥嘉居然不是gay	我也想这么说来着	others
不在乎大国崛起，更在乎小民尊严。龙应台警告	龙应台被公众号各种骂	知乎上也各种骂嘛	others
看着这话，想着自个的经历，忍不住对这个社会来一句：草他吗！劳资要努力换老板，不论在世界哪个地方，只要你boss是中国人，都逃不掉这东西，所以老子要更努力的换老板！换成个外国人看是不是会好些(♯｀∧´)	不会的。	看来是时候拿出演技了！泪目握爪……	sad
没猜错的话你一定是天大的被天中医点了哈哈哈哈	这位难道是校友？	我在北京，同学在那个宿舍住	others
很有意思，如果需要牺牲的是决策者自己呢。	不知道您看过《黑镜》没，有一集就是需要首相跟一头猪OOXX	看过几集，不喜欢。	others
有玩过笔仙的朋友啊楼主我最近疯狂想玩笔仙	想到了一个笑话几个人玩笔仙轮流问问题一个人问了一个笔突然剧烈的動起来越动越快别人有点害怕问那人你问了什么她说我问笔仙笔仙你到底能动多快	哈哈哈哈哈哈哈哈你是认真的么是真的么	happy
北京嘉禾舞社2张跳舞卡转让	现在还买吗能便宜不	太出血了人家会很不开心的说呜呜	sad
是mx4啊，我还以为是5c，mx4我是在他的零售店问的，说这个星期五要到一批，我是重庆的。	我这专卖店也难。。深圳这边问过好几次了。。。专卖店也变相加价，强卖一个198的套餐。。不出逻辑，预定的话就说要几个月后才有货。。	咦，我是不是可以在这买了网上卖，哇咔咔。	happy
化学强国朱元璋	军道杀拳	那是周公	others
很棒哦我会说我一个群里的妹子人手两条么哈哈	我刚下手·买了黑色的14的··棕色的最小16还是算了··	其实我比较喜欢黑色哈哈咖啡色我穿着很显成熟	happy
你看清重点，我是说上面这帮人脑洞开的太大了，27岁副科就前途不可限量了，一片的阴谋论。难不成税务部门27岁副科以后就中南海了啊？	税务系统很不错了	不不不，我的意思是说，我根本没有在重点讨论什么部门啊年龄啊职级啊这些问题。我说的是可不可以允许一个年轻人有理想主义的行为，并且真诚地给予鼓励。这才是重点。	others
讨论一下洗头等护发素满3分钟期间可以做什么	对着镜子扭屁屁啊带手机进去放歌嘛	哈哈哈哈哈	happy
生育率只要低下去，无论在哪个国家哪个时代都不会再大幅升上去了？	不再出现毛时代，人口就不会再回到这么高了。二十年后，80后步入老龄化，人口数量就会“腰斩”。 好日子算是00后的，这一代中年人不再会像我们这么苦逼。也是日了狗，MAO那句话也算预言“世界是我们的，也是你们的，但归根结底是那群孙子们的”。从人口数量结构和老龄化来说，80后不仅是“唯一一代独生子女”，也是最可悲的一代，上有四老下有小，还要重税养老金。反之，我们这一代能放出最狠的话也就是——等我们都死了，世界才能清净。	你说的高是出生率吧。毛那话是对红二代说的，他说的一点没错。说什么80后唯一一代独生子女没什么意义，90后非农业户口也是绝大部分独生子女。90后的父母都这个年龄了，除非特别有精力还比较富，否则不会再生了。	others
本朝和你这个屁民也没任何关系，毕竟底层（手动微笑）	我这个底层在本朝饿不死 法律上和高层平等  你唐呢？	再平等再和高层平等，本朝也和你个屁民没关系	angry
另外回复下答主。技术性的问题我也确实懂得不多。瓶颈上的事我也能理解。只是12306在细节上做的太不够友好了。光那个验证码就能看出一二。而且在与售票的过程上，也过于不透明，导致猜疑过多。如果能定时公布一些售票数据，或者在操作人性化上有所进步，也不至于如此。新改版的系统比原来的要进步很多，起码不像是大学毕业生做的网站了——虽然还是很渣。给银行做系统的渣渣程序员飘过……	哈哈，贵行是哪里	给银行做项目的，省级项目而已，每天也是百万级别的数据。不过我不负责数据负载方面，前端涉及的较多，因此对答主内容了解不深。	others
那你怎么解释腾讯一路被骂抄袭，一路走到今天呢？	你在狡辩吧，我什么时候为腾讯背书了？比烂，你怎么不去比三鹿？我是说，你们，都是垃圾。你，比腾讯差在哪儿？我告诉你，就是早期的IM吸取大量用户基础造就庞大平台抄什么都能上的机遇你们没赶上。	你口中的“我们”包含我司的“保洁员大妈”吗？	others
音乐制作人算一个分支吧应用领域的	那你这个专业是偏向理论的嘛古典的还是流行的还是民族的	额都有吧哈哈	happy
看到这个，想起高中开学典礼，可能中午喝酒了，下午开学典礼的时候校长满脸通红，因为他是一个特爱干净的男人每隔断时间就会让清洁工用高压水枪清理一回校园。讲到学生随地吐痰他就特鸡冻，:“能不能不要随地吐痰，要是你实在忍不住可以先把它吐到卫生棉，不对，纸巾，不对，卫生巾，卫生巾，卫生巾，哦！不对，卫生纸里行不行啊？当时我们已经笑的不行了，因为他跟我们英语老师是俩口子我回头瞅了一眼，看到英语老师满脸的嫌弃啊！😂😂😂	初中有一次结业典礼，校长硬生生地把“制造垃圾”说成“创造垃圾”……但是估计只有不多的人注意到……现在还记忆犹新	哈哈！垃圾变成有用的东东啦。	happy
答主小马的？！	要等答主确认是不是马鞍山啊哈哈 	你怎么看出来他和马鞍山有关系的啊😊	happy
2333反正我听的都不是他唱的，我听的改编感觉比他的原唱合我胃口，再加上后来他和粉丝都越来越飘，质量越来越差…走程序化很严重，态度不端正搞得歌就更敷衍了，那时候他也急于洗清自己，出的歌一看歌名就知道要干啥……	也确实是，后期的歌真是一言难尽啊。在他还没有大爆之前我还是很喜欢他的，经常看他微博的段子也好，广告也好觉得还蛮有想法的，只是世事难料呀，也不说事实的真相到底怎样，谁对谁错，反正在我看来是影响很大的，至少我是粉转路了，黑倒不至于。	我觉得他要是一开始不定位自己是歌手，可能还受欢迎一点……基本功太差了，录音棚歌手，他要是做一些别的，然后大家发现他还会唱歌也许还算个宝藏男孩呢…	others
我为什么要点进来？？？😂	啊，你的头发好大，不，说错了，是你的脸好深啊，明人不说暗话，我喜欢你的衣服。	哦	happy
迟到的正义不是正义，只是部分当事人对受害者的安慰和他们的自我安慰  ——来自百度	百度：莆田系医院警告	？	others
答主写这个故事是第一人称吧！他爷爷叫那个孩子小畜生，然后答主一直就说小畜生什么啊！小畜生什么啊！这个男孩缺乏管教，你看他父母也是那样，有什么办法呢？答主爷爷要找到真凶我觉得无可厚非，后面给派出所所长钱是什么意思，我不懂	可能答主是出于气愤才叫他小畜生吧，他爷爷出500块钱是因为麻烦了派出所的警察，警察出警都是要出警费的，来来回回帮你几次，你总得表示表示吧	恩😊好的其实没必要争论这些问题，但是呢和你们交流呢！交流不同的思想也蛮开心的	happy
如果你只能通过贬低他人来进行反驳的话，我们没必要再回复了	哪里有贬低你啊？彼此不同逻辑思维问题而已，呵呵	呵呵	others
联想大客户销售专员正式岗坐标北京	这个职位主要是开发新的客户关系有更详细的职位描述吗谢谢	露亲你想去啊咱俩一起呗哈哈哈	happy
不知道你说的北京姑娘的事，我是在评论这个答案的人，不是家暴，是婚外恋。太长了只看了前面一半。	刚刚在别的答案看到了姑娘的名字，叫董姗姗，你可以搜下，如果有空的话。	嗯好	others
有相关的微信群么？	没有，我要不要拉一个？	拉吧	others
好想知道9月摩羯的感情运势	唐立淇早就说摩羯下半年感情运很难过因为对方不了你所以自己看着办特别789三个月	那十月以后呢	others
有一说一，不对的你拿东西说出来，喷一句就跑是个什么东西？	指出此评论有偏见还变成喷了，某乎人这么玻璃心的好像不多，🍺站可能多一点	26个营对英国4个营，英军从海上撤出，意大利损失 2000 人，英国损失250人。一国之军靠给德国送补给胜利很光荣？	others
一页一页看书的女孩好美[害羞]	毕导也好看	你也好看，我也好看[小情绪]	happy
祝好运	谢谢	突然想问一句，开发性金融的核心内容是什么呀？和普通金融学有什么不一样。	others
好担心被淘汰…	你还小。。。	晚安～	others
银行工作不开心已裸辞	你是神马银行的我同学在建行工作之前做桂圆现在转行政班据说还挺不错的单位提供住宿和中餐工资在我们的那个省份是比上不足比下有余日子也算过得去了	我也是建行的不过只有一餐而且我们不包住宿的主要是没有节假日啊	sad
作为留学狗表示出行真的不够体面hhhhh	但不代表穷啊 更不需要装什么	老哥别激动啊，这个明显不是什么正经回答\滑稽	others
去听陈小春的抱一抱	好嘞	我心情很乱我心情很糟有没有告诉过你我的心情不好	sad
5000是励志奖学金啊。如果助学金人人有份也挺好的。我们就没有。救急不救穷是正确的啊。	关键班长那德行和资历真的不配啊😂。可是也没有人急啊，这样救穷是不是好点	我曾经帮班里统计过，其实是有的。唉	sad
公众号吗	朋友圈 	转吧	others
想请教一下目前国内的咨询公司有比较靠谱的比较大的吗，还是每个都有不同的侧重方向？我之前看到一个责扬天下北京咨询公司，不知道您了解吗，他们主要是偏什么方向的	国内品牌咨询比较有名的是和君、正略钧策、北大纵横、华夏基石（人力资源强），国企的话中智（人力资源） 责扬天下听说过，但算不上顶尖的国内品牌，具体没有了解过。再就是一些外企了	谢谢～	others
你说的对所以尽人事听天命随缘了	嗯加油v看好你哟	谢谢你的祝福亲	happy
你自己都说那叫保守派了，理解政治很难吗？党派本来就是互相攻击的，保守派既然拿共产主义来攻击罗斯福，这个就证明了共产主义对美国人来说是个负面词汇。	德国的社保制度,比苏联还是差很多的,也就三条而已.	苏联的生活水平比起西方各国简直就是垃圾，朝鲜现在还免费分房免费医疗不用忍受高房价的痛苦，你愿意去朝鲜终身生活吗？	others
撸主不要平胸扁臀粗短腿就说一声撸主是阿兵哥我最排斥阿兵哥所以是我不要撸主不是撸主不要我呵呵后	阿兵哥是什么东西撸主不懂啊撸主也爱平胸扁臀粗短腿但更爱大胸翘臀细长腿好么	啊哈哈哈哈哈哈	happy
不光化学专业要做实验，农学也要做啊	分析化学么？	农业类专业，所以也做实验	others
赡养可不是孝的一部分呀。赡养是义务啊。大家都尽到义务的前提下。你抚养我赡养，很公平啊。赡养是法律规定的嘛。抚养也一样。孝顺可不一定了，纠着名词也没意思，每个人习惯表达的孝顺都是不一样的，作者很明显讲的就是习惯把自己一直压迫在孩子身上，没有给到孩子尊重，没有把孩子当成一个拥有独立人格的人来看的父母，事实上，这样的父母很多啊，所以作者才会来说吧。当然啃老，或者自私的子女也有。但这是另外问题了。我读下来感觉作者只是反对那种心中无爱的父母，以及像个小朝廷一样冰冷的家庭罢了	纠结字眼没有意义？你把一个本来有含义的词汇曲解，然后批判，有意义？那我是不是说尊重也是不对的？因为尊重也是下对上的，是奴化？	emmmm	others
鼻涕口味的	xx好口味	扯不断嚼不烂哈哈哈	happy
你分析得好专业啊嘿嘿	噗因为我就是mjvoo哈哈	哈哈	happy
不学好高数甚至数学分析，怎能学好数理统计捏。现在我在看casella的统计推断，表示高数还是不够的	学个高中概率不需要这么多前置知识	高中概率不是排列组合就够了么	others
金志文结婚了凤姐表示很孤独	现在对陈老师余文乐这种长相已经无感还是妹子抢眼	难道你以前对他们	others
我单身没有任何顾虑不考虑买车买房不为难自己所以我感觉很好啊很好	我真是难为自己我也不需要其实但是我不断给自己找事让自己不开心吵架疯了	你看你吧有对象有好处没对象也有好处那叫什么与什么并存来着	others
贵不代表普通学生吃不起，好吃贵点是应该的，但是他是不允许去吃，！这是重点	你自己看看你的回答，哪里表达出了“不允许吃”的疑问了？还有我第一条回复的最后一句话	你没见过，但它真实存在	others
好的以后有机会一定来	嘻嘻那我们坐等你啦	好哒好哒嘻嘻	happy
而且小姨子胸太假啦。。	表情也假，不能忍	是啊……并且我有个偏见，就是韩国情色片里要露点出演的女演员们，她们的胸部，大部分都是假的。	others
我等无产阶级的前途在哪里？	你一浙江理工大的研究生程序员就别来矫情了	按属性我真的是属于无产阶级啊。什么都没有，除了会读书。	others
我觉得不少人是并不能同意大事化小小事化了能真正意义的达到人和人之间和谐相处的这个观点的	所以又绕回来了，还是得看多严重的事儿啊	这个怎么说呢我觉得不是说限制讨论话题了，而且完全可以再开一个话题来讨论你的问题了，我个人的看法是发散的回答并不是什么问题，但如果一直在长篇讨论一个与po主相关性不高的话题我觉得首先就很容易被误会，第二说实话就像2个人在讨论数学题，突然有个人跑过来说审题很重要然后扯到语文上去很像，我个人感觉很让人不舒服，当然这是我个人看法	others
你好，请问辞职后你现在在做什么呢？我感觉我需要一点勇气…	我在做环保行业 目前还没做出很好的成绩 不过比起在部门里有动力多了	恭喜恭喜，自己开心才最紧要！	happy
查到了，请看这个： 其中提到：美国”经济颇为繁荣的1921-1930年的10年平均死亡率为千分之11.8；经济颇为萧条的1931-1940年的10年平均死亡率为千分之10.9“。就是说30年代死亡率跟以前差不多，甚至稍低。	你自己去看一下《光荣与梦想》（这样的书籍、图片还很多）这些书籍中的照片，说没有饿死人这里假的。还有像《愤怒的葡萄》里就有有很多关于美国饥荒的描述，你以为30年代美国的饥荒是假的？？？？？？？？？	"苏联优先发展重工业，实质就是牺牲人民生活片面搞军事。什么""优先发展重工业长远来说轻工业、消费品工业增长速度更快"",军事领先是一个无底洞，有了飞机还要更好的飞机、还要导弹、原子弹，没个头。事实是，苏联70年以来一直是消费工业不发达，人民生活困苦，比西欧美国差得远。"	others
又一个心疼我们的。都哭了。善良。。	秒回复😜	嗯。。开心不。。哈哈。	happy
大四的学姐真的下架了嘛	没听说过吗大三还没对象大学也就基本告别恋爱了	哈哈你们还有两年诶	happy
2333卖女儿，和东莞组织卖肉一个性质，只不过一个短期交易，一个长期交易	不能直接说成卖女儿，我的意思并不是男生付出要比女生多 而是要和女生一起好好生活对她好 这并不矛盾 结婚对于女方家来说就是女方父母把自己的女儿托付给你 她在自己家爸爸妈妈呵护了她那么多年 站在女方立场 她的父母肯定希望你做的比他们更好 让她幸福快乐 毕竟结婚之后 她就和你真正成为一个家了	“把自己女儿托付给你”说的这么冠冕堂皇，本质还不是卖女儿？呵呵→_→	angry
没用我家萌萌藐视一切生物	藐视你看上面更新后的旺财哪里还有一点霸气侧漏全都泄漏了	哈哈哈哈哈哈哈哈哈哈哈哈好好笑看他缩角落里的小怂样萌萌会鄙视他的	happy
咆哮吧不满现状的屌丝们	17岁就身高179cm了现在都23了才181cm尼玛能不能再长的慢点	你要长多高	others
是不是有否定判决的权利？	舆论和陪审团你是如何等同的。求指教	网上看看？不知你所谓陪审团是什么样的	others
李易峰那段服气。	三杯鸡好吃[害羞]	嘿嘿嘿欢迎来江西品尝～	happy
看见你这俩字儿回复我笑的更厉害了	你不知道结巴心里的苦。所以这笑话太冷太冷！	对不起嘛😭	sad
答主答主，呼叫答主～今天见嘛？	今天见。	啊啊啊啊啊啊，捕捉一只答主！今天见今天见～多晚都等你	happy
请问警察的使命是什么？你听说过警察碰到歹徒为了保命抛弃受害人的吗？请问士兵的任务是什么？你听说过士兵以上战场当逃兵为荣吗？你的职业是医生，这些都是你应该做得。你作为医生的使命就是救人。我没有魄力去为别人献身所以我不是警察不是士兵不是医生我只是个屁民。但是你要记住你是医生。你要记住你的义务是什么。	又是一个道德圣人？你准备接受让得了艾滋的医生为你看病吧。学医十载，就为了一句你是专业的医生，所以自愿感染艾滋？从此行医的资格取消，无其他谋生手段，坐等死亡？怎么没见你支持那些被感染的医生继续行医？职业，专业？呵呵，道德帝们空中花园。	哦	angry
分手了你也稍微难过一下啊太不尊重我了	女生总是喜欢假装坚强假装快乐既然你说你以前对她很好那么分手以后她一定在跟很多方面都很不适应只能多去安排活动来转移注意调节那种不适应	那我该怎么办	sad
还有一个事是，我说他的言论可以入5，已经有100多个赞了，而你是唯一觉得不妥的，可能，真理只在少数人手中吧~	你非说仇敌不客观也没办法……对于其他国家而言不客观，对于日本二战就是有仇，这你不能否认吧。仇敌这个称呼，很过分吗？当年台湾还不是说gcd是匪，视之为敌，台湾人也不能直接找大陆人报仇啊。真理掌握在多数还是少数分情况。我自认还是讲理的，有道理可以说。不能说因为你赞多你就正确。简单的说真理是掌握在多数或者少数人手里才是非黑即白吧。两种情况例子不胜枚举	和平沟通？上来就骂骂咧咧的人你试图跟他和平沟通？你可以试试跟他说两句，希望你不会被骂	others
好了，你再回头看看你自己的这几段言论吧，自说自话四个字可有过分？	答主想回答的是为什么回有反对，而我不赞同的是现在【这样】的反对。所以，我一直说我不挺转，只是反反转（限定词自己加）	所以，你的发言和答主的陈述没有任何关系。	others
只能说，求后续😂，为了你的后续我可是专门下了这个软件注册了账号	我也是为了后续专门下载这个软件呢	握爪～	others
嗯，中国为什么奇葩？没看到点。	  在世界经济份额里排名第二，超过一堆发达国家，但自己却是个地地道道的发展中国家，这还不奇葩？	世界经济份额第二可能是因为人多，占世界总人口的将近1/5了吧	others
？？跑出去了 我记得以前我养仓鼠的时候它就钻出笼子 我抓它的时候还被咬了[捂脸]	对不知道跑哪儿去了。它不咬人。	嗷好乖啊！我之前养的那只又咬我又咬自己宝宝，可凶辽|･_･`)	sad
你来说说富人的想法~	没有时间跟你讨论，我要去看课外书了	好的，也祝您好运。	others
割过双眼皮垫过鼻子开过外眼角和下致但没人看	再说一句韩国人开的眼角没有任何疤痕非常好就是回缩了有点不开心	去韩国做鼻子好还是在国内担心韩国不给中国人好好做想在九院做鼻子眼睛像去韩国哦	others
你确定这是答主的意思以及大部分赞同答主的人的意思么	没有共产主义以及工人运动之前的社会是怎样，不用我港了吧？大部分人仅仅希望付出与得到成正比，哪有那么贪心想着躺着就能过好日子呢。	而另一些人希望的是阶级的固化，在自己刚刚好爬到期望的位置的时候阶级刚刚好固化，就像如果国家有人格的话，美国眼里的中国崛起，说的好听叫勤劳，说的不好听叫低人权低成本。	others
从高中开始妇女学生就占据学生比例总数的多数比例了一直直到博士学历之前都是如此	那为什么恋爱与结婚市场上，依然是女性占主导地位，是男性要付出高昂的彩礼+买房+加女方姓名，而不是反过来呢？	和平时期谁掌握了舆论谁就能够可以控制整个社会推荐各位看一下这篇文章就知道真•女权👊是如何彻底掌握以及把控几乎所有的媒体宣传渠道的了最正宗的仇男真•女权主义简史👊2009~2019	others
分过啊。。。。严格意义上每朝每代都分过，只不过程度不同	中央集权这种状态一直没变过	地方割据算不算呐？如果只算统一阶段的话，非欧美文化其实20世纪前都是中央集权	others
